protocol_type,service,src_bytes,dst_bytes,count,srv_count,dst_host_count,dst_host_srv_count,attack_type
tcp,ftp_data,491,0,2,2,150,25,normal
udp,other,146,0,13,1,255,1,normal
tcp,private,0,0,123,6,255,26,neptune
tcp,http,232,8153,5,5,30,255,normal
tcp,http,199,420,30,32,255,255,normal
tcp,private,0,0,121,19,255,19,neptune
tcp,private,0,0,166,9,255,9,neptune
tcp,private,0,0,117,16,255,15,neptune
tcp,remote_job,0,0,270,23,255,23,neptune
tcp,private,0,0,133,8,255,13,neptune
tcp,private,0,0,205,12,255,12,neptune
tcp,private,0,0,199,3,255,13,neptune
tcp,http,287,2251,3,7,8,219,normal
tcp,ftp_data,334,0,2,2,2,20,warezclient
tcp,name,0,0,233,1,255,1,neptune
tcp,netbios_ns,0,0,96,16,255,2,neptune
tcp,http,300,13788,8,9,91,255,normal
icmp,eco_i,18,0,1,1,1,16,ipsweep
tcp,http,233,616,3,3,66,255,normal
tcp,http,343,1178,9,10,157,255,normal
tcp,mtp,0,0,223,23,255,23,neptune
tcp,private,0,0,280,17,238,17,neptune
tcp,http,253,11905,8,10,87,255,normal
udp,other,147,105,1,1,255,1,normal
tcp,mtp,0,0,248,2,255,2,neptune
tcp,telnet,437,14421,1,1,255,25,normal
tcp,private,0,0,279,7,255,13,neptune
tcp,http,227,6588,5,22,43,255,normal
tcp,http,215,10499,14,14,255,255,normal
tcp,http,241,1400,33,33,255,255,normal
icmp,eco_i,8,0,1,12,1,53,ipsweep
tcp,finger,0,0,57,16,255,59,neptune
tcp,http,303,555,9,9,9,255,normal
tcp,private,0,0,2,1,255,1,portsweep
udp,domain_u,45,45,181,181,255,250,normal
udp,private,105,147,2,2,41,5,normal
udp,domain_u,43,43,122,202,255,255,normal
tcp,supdup,0,0,205,17,255,17,neptune
tcp,http,324,2302,22,28,255,255,normal
tcp,uucp_path,0,0,228,13,255,13,neptune
tcp,ftp_data,0,0,50,11,255,63,neptune
tcp,Z39_50,0,0,262,12,255,9,neptune
tcp,smtp,1591,372,1,2,181,147,normal
udp,other,146,105,4,2,255,2,normal
tcp,http,290,3006,11,11,255,255,normal
tcp,csnet_ns,0,0,108,11,255,11,neptune
